,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
74,,2016-03-15 15:16:08,2016-03-14,HBAN,Steinour Stephen D,"Pres, CEO, COB",P - Purchase,$25.00,"+20,000","3,662,844",+1%,"+$500,000",-1,0,+2,+4
75,,2016-03-04 15:57:12,2016-03-03,HBAN,Kight Peter J,Dir,P - Purchase,$9.52,"+100,000","245,758",+69%,"+$952,328",+1,-1,0,+6
76,,2016-03-04 15:57:10,2016-03-04,HBAN,Heller Paul G,"Sr. EVP, Chief Technology Off",P - Purchase,$9.73,+514,"292,010",0%,"+$4,999",+1,-1,0,+6
77,,2016-03-02 16:26:19,2016-03-02,HBAN,Steinour Stephen D,"Pres, CEO, COB",P - Purchase,$9.27,"+10,000","3,642,844",0%,"+$92,724",+3,+1,+3,+7
78,,2016-02-29 12:17:24,2016-02-26,HBAN,Munson Eddie R,Dir,P - Purchase,$8.96,"+3,000","19,641",+18%,"+$26,880",-2,+8,+7,+9
79,,2016-02-19 14:52:13,2016-02-19,HBAN,Levy Jonathan A,Dir,P - Purchase,$8.50,"+20,000","195,069",+11%,"+$169,975",+2,+1,+14,+15
80,,2016-02-10 15:34:52,2016-02-10,HBAN,Neu Richard W,Dir,P - Purchase,$8.52,"+24,800","245,302",+11%,"+$211,178",-1,+4,+13,+16
81,,2016-02-01 15:55:05,2016-02-01,HBAN,Endres Michael J,Dir,P - Purchase,$8.69,"+30,000","340,173",+10%,"+$260,700",+1,0,+7,+12
82,,2016-02-01 15:15:58,2016-02-01,HBAN,Dunlap James E,Regional Banking Group Pres,P - Purchase,$8.56,"+1,000","399,195",0%,"+$8,555",+1,0,+7,+12
83,,2016-02-01 15:00:43,2016-02-01,HBAN,McCullough Howell D. III,"CFO, Sr EVP",P - Purchase,$8.60,"+25,000","260,045",+11%,"+$215,120",+1,0,+7,+12
84,,2016-02-01 13:16:14,2016-02-01,HBAN,Steinour Stephen D,"Pres, CEO, COB",P - Purchase,$8.57,"+100,000","3,626,067",+3%,"+$857,064",+1,0,+7,+12
85,,2015-11-25 10:18:18,2015-11-24,HBAN,Neumeyer Daniel J.,Sr. EVP of Principal Subsidiar,S - Sale,$11.58,"-13,492","307,853",-4%,"-$156,240",0,0,-3,-9
86,D,2015-09-01 11:19:51,2015-08-31,HBAN,Stanutz Nicholas G,Sr EVP of Principal Sub,S - Sale+OE,$10.87,"-9,850","383,766",-3%,"-$107,041",-4,-1,-2,-14
87,D,2015-07-29 10:25:36,2015-07-28,HBAN,Stanutz Nicholas G,Sr EVP of Principal Sub,S - Sale+OE,$11.63,"-11,913","372,826",-3%,"-$138,572",0,0,-9,-29
88,,2015-05-28 14:18:02,2015-05-28,HBAN,Crane Ann B,Dir,P - Purchase,$11.27,"+8,750","111,530",+9%,"+$98,593",0,0,+2,+4
89,,2015-05-27 16:48:00,2015-05-27,HBAN,Anderson David S.,"EVP, Controller",S - Sale,$11.24,"-28,309","153,357",-16%,"-$318,193",0,-1,+3,+5
90,D,2015-04-29 09:42:27,2015-04-28,HBAN,Heller Paul G,"Sr. EVP, Chief Technology Off",P - Purchase,$10.82,+457,"233,100",0%,"+$4,942",+1,+2,+5,+3
91,,2015-04-24 17:31:32,2015-04-24,HBAN,Steinour Stephen D,"Pres, CEO, COB",P - Purchase,$10.79,"+10,000","3,081,398",0%,"+$107,874",-1,+1,+4,-1
92,,2015-04-24 16:52:02,2015-04-24,HBAN,Remiker Richard,Sr. EVP of Principal Sub,P - Purchase,$10.78,"+1,000","84,881",+1%,"+$10,784",-1,+1,+4,-1
93,D,2015-02-05 17:59:06,2015-02-04,HBAN,Anderson David S.,"EVP, Controller",S - Sale+OE,$10.32,"-4,008","132,383",-3%,"-$41,343",+1,+2,+7,+16
94,,2015-01-28 16:56:16,2015-01-27,HBAN,Houston Helga,Senior Exec. V. P.,S - Sale,$10.07,"-4,200","132,575",-3%,"-$42,291",+3,+6,+12,+20
95,,2015-01-27 14:58:46,2015-01-26,HBAN,Steinour Stephen D,"Pres, CEO, COB",P - Purchase,$10.17,"+9,710","2,823,369",0%,"+$98,751",-1,+1,+8,+15
96,,2015-01-27 14:58:34,2015-01-27,HBAN,Munson Eddie R,Dir,P - Purchase,$10.07,"+7,000","7,000",New,"+$70,490",-1,+1,+8,+15
97,,2014-10-22 11:04:30,2014-10-21,HBAN,Steinour Stephen D,"Pres, CEO, COB",P - Purchase,$9.35,"+17,540","2,813,659",+1%,"+$163,981",-1,+4,+8,+18
98,,2014-08-28 12:45:30,2014-08-27,HBAN,Endres Michael J,Dir,S - Sale,$9.87,"-32,000","280,780",-10%,"-$315,811",0,+1,+1,+13
99,DM,2014-08-27 11:29:32,2014-08-25,HBAN,Sanders Keith D,Senior Exec Vice Presiden,S - Sale+OE,$9.92,"-11,188","92,534",-11%,"-$110,971",-1,0,-1,+12
100,DM,2014-08-25 10:58:54,2014-08-21,HBAN,Sanders Keith D,Senior Exec Vice Presiden,S - Sale+OE,$9.81,"-8,651","98,583",-8%,"-$84,853",+1,0,+1,+13
101,DM,2014-08-21 16:17:32,2014-08-19,HBAN,Sanders Keith D,Senior Exec Vice Presiden,S - Sale+OE,$9.74,"-3,178","95,263",-3%,"-$30,963",0,0,+3,+10
