,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
169,D,2013-11-21 16:49:02,2013-11-20,AFL,Johnson Robert B,Dir,S - Sale+OE,$66.41,"-1,250","12,080",-9%,"-$83,015",0,0,-1,-7
170,D,2013-11-21 16:28:37,2013-11-20,AFL,Janke Kenneth S Jr,"Pres, Aflac US,",S - Sale+OE,$66.39,"-7,500","174,820",-4%,"-$497,893",0,0,-1,-7
171,D,2013-11-19 14:21:56,2013-11-15,AFL,Tonoike Tohru,Pres Aflac Japan,S - Sale+OE,$66.80,"-50,000","63,071",-44%,"-$3,340,175",-1,-1,0,-6
172,D,2013-11-08 11:41:54,2013-11-07,AFL,Yamauchi Hiroshi,First SVP,S - Sale+OE,$65.28,"-22,500","70,642",-24%,"-$1,468,699",+2,+5,+4,0
173,D,2013-11-04 15:33:48,2013-11-01,AFL,Cloninger Kriss III,"Pres Aflac Incorporated, CFO",S - Sale+OE,$65.13,"-60,000","296,146",-17%,"-$3,907,740",0,+1,+1,-4
174,,2013-11-04 15:19:15,2013-10-31,AFL,Janke Kenneth S Jr,"Pres, Aflac US,",S - Sale,$65.00,"-45,000","173,320",-21%,"-$2,924,808",0,+1,+1,-4
175,DM,2013-09-26 13:27:55,2013-09-24,AFL,Cloninger Kriss III,"Pres Aflac Incorporated, CFO",S - Sale+OE,$62.40,"-33,400","296,146",-10%,"-$2,084,182",0,+2,+6,+1
176,D,2013-09-24 12:21:10,2013-09-20,AFL,Cloninger Kriss III,"Pres Aflac Incorporated, CFO",S - Sale+OE,$62.61,"-16,600","311,146",-5%,"-$1,039,263",0,0,+7,+3
177,D,2013-09-13 10:43:17,2013-09-11,AFL,Thompson David Gary,Dir,S - Sale+OE,$60.20,"-10,000","22,754",-31%,"-$602,000",0,+2,+6,+7
178,D,2013-08-05 11:08:43,2013-08-01,AFL,White Teresa L,"EVP, COO",S - Sale+OE,$62.43,-814,"31,037",-3%,"-$50,818",0,-1,-6,-1
179,,2013-08-01 16:30:15,2013-08-01,AFL,Amos John Shelby II,Dir,S - Sale,$62.95,"-40,000","673,054",-6%,"-$2,518,084",-2,-4,-9,+1
180,D,2013-08-01 16:19:45,2013-07-31,AFL,Janke Kenneth S Jr,"Pres, Aflac US,",S - Sale+OE,$62.26,"-8,500","218,290",-4%,"-$529,210",-2,-4,-9,+1
181,D,2013-08-01 16:02:10,2013-07-31,AFL,Johnson Robert B,Dir,S - Sale+OE,$62.29,"-9,750","10,002",-49%,"-$607,318",-2,-4,-9,+1
182,D,2013-02-11 13:56:49,2013-02-08,AFL,Lake Charles D II,COB Aflac Japan,S - Sale+OE,$50.20,"-2,019","25,274",-7%,"-$101,356",0,-1,+2,+24
183,DM,2013-01-02 15:35:22,2012-12-28,AFL,Janke Kenneth S Jr,"EVP, Deputy CFO",S - Sale+OE,$52.30,"-20,000","213,152",-9%,"-$1,045,968",+2,-1,0,+8
184,,2012-12-28 14:29:19,2012-12-26,AFL,Purdom E Stephen,Dir,S - Sale,$53.76,"-6,000","213,363",-3%,"-$322,560",-1,-2,+1,+11
185,,2012-12-20 15:50:40,2012-12-18,AFL,Cloninger Kriss III,"Pres Aflac Incorporated, CFO",S - Sale,$54.20,"-9,000","295,167",-3%,"-$487,800",+1,-3,-3,+6
186,,2012-12-19 15:38:57,2012-12-18,AFL,Hudson Elizabeth J,Dir,S - Sale,$54.50,"-10,000","49,592",-17%,"-$545,000",0,-2,-6,+6
187,,2012-12-19 15:22:37,2012-12-17,AFL,Lake Charles D II,COB Aflac Japan,S - Sale,$53.42,-5,"24,103",0%,-$267,0,-2,-6,+6
188,D,2012-12-17 14:08:51,2012-12-13,AFL,Tillman Audrey B,EVP,S - Sale+OE,$53.62,"-1,670","29,829",-5%,"-$89,550",+2,+1,-3,+10
189,,2012-12-13 13:41:18,2012-12-12,AFL,Purdom E Stephen,Dir,S - Sale,$54.43,"-17,000","219,363",-7%,"-$925,310",-1,0,-2,+8
190,D,2012-12-12 14:48:42,2012-12-10,AFL,Zuna Michael William,EVP,S - Sale+OE,$53.78,"-3,877",0,-100%,"-$208,503",0,+1,-2,+8
191,,2012-12-10 11:44:14,2012-12-07,AFL,Giddens Thomas R,Sr. Advisor,S - Sale,$53.51,"-3,247","5,876",-36%,"-$173,733",0,-1,-2,+7
192,D,2012-12-07 15:38:18,2012-12-05,AFL,Lake Charles D II,COB Aflac Japan,S - Sale+OE,$52.75,"-18,329","24,108",-43%,"-$966,855",0,-1,-3,+7
193,D,2012-12-05 15:49:58,2012-12-03,AFL,Wilkey Robin Y,SVP,S - Sale+OE,$53.02,"-7,305","8,187",-47%,"-$387,329",+2,+3,-1,+9
194,,2012-11-19 14:49:37,2012-11-15,AFL,Cloninger Kriss III,"Pres Aflac Incorporated, CFO",S - Sale,$49.76,"-10,000","313,798",-3%,"-$497,597",+2,+3,+8,+12
195,,2012-11-07 15:03:50,2012-11-06,AFL,Amos Daniel P,"COB, CEO",S - Sale,$52.27,"-50,000","4,312,818",-1%,"-$2,613,462",-3,-3,+4,+7
196,,2012-09-26 14:53:36,2012-09-24,AFL,Wilkey Robin Y,SVP,S - Sale,$48.35,"-1,100","7,239",-13%,"-$53,185",-2,0,+4,+11
197,DM,2012-09-24 17:54:19,2012-09-24,AFL,Cloninger Kriss III,"Pres Aflac Incorporated, CFO",S - Sale+OE,$48.36,"-34,000","323,798",-10%,"-$1,644,338",-2,-1,+4,+9
198,D,2012-08-01 15:53:08,2012-07-31,AFL,Purdom E Stephen,Dir,S - Sale+OE,$43.59,"-10,000","236,363",-4%,"-$435,900",0,+4,+7,+23
199,D,2012-07-26 15:04:12,2012-07-25,AFL,Amos John Shelby II,Dir,S - Sale+OE,$41.18,"-10,000","896,102",-1%,"-$411,792",0,+6,+12,+30
200,D,2012-07-26 14:47:13,2012-07-25,AFL,Knapp Charles B,Dir,S - Sale+OE,$41.36,"-8,500","47,305",-15%,"-$351,567",0,+6,+12,+30
201,D,2012-07-26 14:34:53,2012-07-25,AFL,Rimer Barbara K,Dir,S - Sale+OE,$41.39,"-9,670","7,540",-56%,"-$400,231",0,+6,+12,+30
202,D,2012-06-28 14:37:20,2012-06-27,AFL,White Teresa L,EVP,S - Sale+OE,$40.20,"-11,000","26,434",-29%,"-$442,239",+1,+5,+7,+30
