,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
13,D,2021-03-17 18:02:11,2021-03-15,HPE,Black Thomas E Jr,"SVP, GM of Storage",S - Sale+OE,$16.10,"-16,511","26,515",-38%,"-$265,827",,,,
14,D,2021-03-09 18:16:32,2021-03-05,HPE,May Alan Richard,"EVP, Chief People Officer",S - Sale+OE,$14.31,"-343,017","350,343",-49%,"-$4,908,951",,,,
15,D,2020-12-14 18:22:42,2020-12-14,HPE,Ricci Jeff T,"SVP, Controller, PAO",S - Sale+OE,$12.03,"-18,290",0,-100%,"-$220,029",,,,
16,D,2020-12-14 18:18:52,2020-12-14,HPE,Karros Kirt P,"SVP, Finance, Treasurer",S - Sale+OE,$12.03,"-19,009",0,-100%,"-$228,678",,,,
17,D,2020-12-09 18:29:04,2020-12-09,HPE,Ricci Jeff T,"SVP, Controller, PAO",S - Sale+OE,$12.04,"-14,328",0,-100%,"-$172,509",,,,
18,D,2020-12-09 18:26:59,2020-12-09,HPE,Karros Kirt P,"SVP, Finance, Treasurer",S - Sale+OE,$12.04,"-12,222",0,-100%,"-$147,153",,,,
19,D,2020-01-28 18:17:18,2020-01-28,HPE,Davis Philip,"CSO, Pres Hybrid IT",S - Sale+OE,$14.61,"-16,884",0,-100%,"-$246,675",,,,
20,DM,2019-12-12 18:58:11,2019-12-10,HPE,Ricci Jeff T,"SVP, Controller, PAO",S - Sale+OE,$15.80,"-30,150",0,-100%,"-$476,251",,,,
21,D,2019-12-12 18:57:27,2019-12-12,HPE,Melkote Keerti,Pres Intelligent Edge,S - Sale+OE,$15.97,"-66,130",0,-100%,"-$1,056,070",,,,
22,DM,2019-12-12 18:56:48,2019-12-11,HPE,Karros Kirt P,"SVP, Finance, Treasurer",S - Sale+OE,$16.00,"-28,130",0,-100%,"-$450,080",,,,
23,DM,2019-12-12 18:56:29,2019-12-11,HPE,Davis Philip,"CSO, Pres Hybrid IT",S - Sale+OE,$15.90,"-63,976",0,-100%,"-$1,017,447",,,,
24,D,2019-11-07 16:58:52,2019-11-06,HPE,Ricci Jeff T,"SVP, Controller, PAO",S - Sale+OE,$17.01,"-20,457",0,-100%,"-$347,974",,,,
25,D,2019-10-23 16:39:41,2019-10-21,HPE,Schultz John F,"EVP, CLAA, SEC",S - Sale+OE,$16.04,"-432,998","297,926",-59%,"-$6,944,032",,,,
26,,2019-09-24 21:22:37,2019-09-24,HPE,Davis Philip,"CSO, Pres Hybrid IT",S - Sale,$14.43,"-16,436",0,-100%,"-$237,171",,,,
27,D,2019-09-17 18:02:33,2019-09-16,HPE,Neri Antonio F,"Pres, CEO",S - Sale+OE,$15.19,"-49,635","4,936",-91%,"-$753,752",,,,
28,D,2019-06-25 18:28:32,2019-06-25,HPE,Davis Philip,"CSO, Pres Hybrid IT",S - Sale+OE,$14.96,"-10,088",0,-100%,"-$150,916",,,,
29,D,2019-06-05 16:45:43,2019-06-05,HPE,Davis Philip,"CSO, Pres Hybrid IT",S - Sale+OE,$14.33,"-16,412",0,-100%,"-$235,105",,,,
30,D,2019-06-04 17:58:23,2019-05-31,HPE,Rothman Irv,Pres Financial Services,S - Sale+OE,$13.85,"-84,629",0,-100%,"-$1,171,985",,,,
31,DM,2019-04-17 18:22:10,2019-04-15,HPE,Neri Antonio F,"Pres, CEO",S - Sale+OE,$16.51,"-591,276","4,936",-99%,"-$9,759,760",,,,
32,DM,2019-03-05 17:58:08,2019-03-01,HPE,Neri Antonio F,"Pres, CEO",S - Sale+OE,$16.50,"-398,145","4,936",-99%,"-$6,569,777",,,,
