,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
44,,2015-04-17 16:29:54,2015-04-15,WFC,Levy Richard,"EVP, Controller",S - Sale,$54.48,"-95,000","94,085",-50%,"-$5,175,600",+1,+1,+3,-3
45,,2015-04-17 15:23:41,2015-04-16,WFC,Modjtabai Avid,Sr. EVP,S - Sale,$54.65,"-70,000","308,667",-18%,"-$3,825,500",-1,0,+2,-5
46,,2015-04-17 15:17:13,2015-04-16,WFC,Carroll David M,Senior Exec. VP,S - Sale,$54.81,"-77,000","358,657",-18%,"-$4,220,370",-1,0,+2,-5
47,,2015-04-17 13:26:25,2015-04-15,WFC,Strother James M,Sr. EVP,S - Sale,$54.80,"-50,000","163,268",-23%,"-$2,740,000",-1,0,+2,-5
48,,2015-01-27 14:15:26,2015-01-23,WFC,Sloan Timothy J,Sr. EVP,S - Sale,$53.51,"-25,000","378,374",-6%,"-$1,337,645",-1,-1,+4,+9
49,,2015-01-27 14:07:37,2015-01-23,WFC,Loughlin Michael J,Sr. EVP,S - Sale,$53.47,"-10,000","156,120",-6%,"-$534,708",-1,-1,+4,+9
50,,2014-12-11 13:32:48,2014-12-10,WFC,Engel Susan E,Dir,S - Sale,$54.27,"-1,964","9,843",-17%,"-$106,587",0,-1,-4,+7
51,,2014-11-13 15:07:30,2014-11-11,WFC,Tolstedt Carrie L,Sr. EVP,S - Sale,$53.76,"-219,835","529,195",-29%,"-$11,818,330",0,0,0,+5
52,M,2014-11-07 15:30:16,2014-11-06,WFC,Stumpf John G,"Pres, COB, CEO",S - Sale,$54.05,"-329,197","1,333,190",-20%,"-$17,793,334",0,-1,+1,+4
53,,2014-11-07 15:21:11,2014-11-07,WFC,Modjtabai Avid,Sr. EVP,S - Sale,$54.10,"-25,000","240,199",-9%,"-$1,352,500",0,-1,+1,+4
54,,2014-11-05 16:07:39,2014-11-05,WFC,Rhein Kevin A,Sr. EVP,S - Sale,$53.49,"-10,000","159,352",-6%,"-$534,900",+1,0,+2,+4
55,D,2014-11-04 14:03:46,2014-11-03,WFC,Hernandez Enrique Jr,Dir,S - Sale+OE,$53.54,"-7,740","14,700",-34%,"-$414,400",0,+2,+3,+5
56,,2014-11-03 14:10:52,2014-10-31,WFC,Strother James M,Sr. EVP,S - Sale,$52.91,"-20,000","129,256",-13%,"-$1,058,200",+1,+2,+3,+6
