,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
155,M,2016-08-22 11:52:15,2016-08-19,SYK,Stryker Ronda E,Dir,S - Sale,$113.82,"-12,000","24,400,222",0%,"-$1,365,797",0,+1,+1,+13
156,M,2016-08-19 07:44:23,2016-08-17,SYK,Stryker Ronda E,Dir,S - Sale,$113.07,"-12,000","24,412,222",0%,"-$1,356,842",0,0,+1,+12
157,M,2016-08-16 14:32:28,2016-08-15,SYK,Stryker Ronda E,Dir,S - Sale,$114.86,"-12,000","24,424,222",0%,"-$1,378,317",-2,-1,-4,+9
158,M,2016-08-12 16:14:31,2016-08-11,SYK,Stryker Ronda E,Dir,S - Sale,$115.54,"-12,000","24,436,222",0%,"-$1,386,490",0,-2,-2,+7
159,M,2016-08-10 13:35:40,2016-08-09,SYK,Stryker Ronda E,Dir,S - Sale,$115.40,"-12,000","24,448,222",0%,"-$1,384,819",0,-2,-1,+7
160,M,2016-08-08 14:21:40,2016-08-05,SYK,Stryker Ronda E,Dir,S - Sale,$114.40,"-12,000","24,460,222",0%,"-$1,372,743",0,+1,+2,+7
161,M,2016-08-04 14:58:41,2016-08-03,SYK,Stryker Ronda E,Dir,S - Sale,$115.24,"-12,000","24,472,222",0%,"-$1,382,934",0,+1,0,+8
162,,2016-08-03 16:28:34,2016-07-29,SYK,Doliveux Roch,Dir,P - Purchase,$115.39,+46,"17,621",0%,"+$5,308",0,+1,+1,+8
163,,2016-08-02 16:29:28,2016-08-01,SYK,Cox Howard E Jr,Dir,S - Sale,$117.02,"-9,448","554,732",-2%,"-$1,105,605",-1,-1,0,+7
164,M,2016-08-02 16:21:41,2016-08-01,SYK,Stryker Ronda E,Dir,S - Sale,$116.37,"-12,000","24,484,222",0%,"-$1,396,422",-1,-1,0,+7
165,M,2016-07-29 12:56:24,2016-07-28,SYK,Stryker Ronda E,Dir,S - Sale,$115.35,"-12,000","24,496,222",0%,"-$1,384,244",+1,0,0,+8
166,M,2016-07-27 15:23:31,2016-07-26,SYK,Stryker Ronda E,Dir,S - Sale,$115.08,"-12,000","24,508,222",0%,"-$1,380,992",-1,-1,-3,+5
167,M,2016-07-25 14:37:00,2016-07-22,SYK,Stryker Ronda E,Dir,S - Sale,$116.68,"-12,000","24,520,222",0%,"-$1,400,107",-1,-1,-2,+4
168,M,2016-07-21 16:52:45,2016-07-20,SYK,Stryker Ronda E,Dir,S - Sale,$122.26,"-12,000","24,532,222",0%,"-$1,467,115",-5,-6,-7,0
169,M,2016-07-19 17:43:15,2016-07-18,SYK,Stryker Ronda E,Dir,S - Sale,$122.11,"-12,000","24,544,222",0%,"-$1,465,365",0,-5,-7,+1
170,M,2016-07-15 12:08:40,2016-07-14,SYK,Stryker Ronda E,Dir,S - Sale,$122.48,"-12,000","24,556,222",0%,"-$1,469,737",0,0,-6,+1
171,M,2016-07-13 15:32:09,2016-07-12,SYK,Stryker Ronda E,Dir,S - Sale,$122.60,"-12,000","24,568,222",0%,"-$1,471,179",0,-1,-6,0
172,M,2016-07-11 14:59:30,2016-07-08,SYK,Stryker Ronda E,Dir,S - Sale,$122.39,"-12,000","24,580,222",0%,"-$1,468,664",0,0,-6,-3
173,D,2016-07-07 16:35:54,2016-07-05,SYK,Owen Katherine Ann,"VP, Strategy, IR",S - Sale+OE,$121.21,"-6,674","7,889",-46%,"-$808,960",+1,+1,-5,0
174,M,2016-07-07 15:26:05,2016-07-06,SYK,Stryker Ronda E,Dir,S - Sale,$121.15,"-12,000","24,592,222",0%,"-$1,453,755",0,+1,-5,0
175,,2016-07-06 21:45:09,2016-07-01,SYK,Owen Katherine Ann,"VP, Strategy, Investor Rel.",S - Sale,$120.05,"-10,686","7,889",-58%,"-$1,282,829",0,+1,-5,-1
176,M,2016-07-05 16:24:14,2016-07-01,SYK,Stryker Ronda E,Dir,S - Sale,$120.64,"-12,000","24,604,222",0%,"-$1,447,634",0,+1,-5,0
177,M,2016-06-30 15:36:05,2016-06-28,SYK,Stryker Ronda E,Dir,S - Sale,$117.34,"-18,000","24,616,222",0%,"-$2,112,160",+1,+2,-2,+2
178,M,2016-06-27 17:12:17,2016-06-24,SYK,Stryker Ronda E,Dir,S - Sale,$116.09,"-12,000","24,634,222",0%,"-$1,393,109",+1,+5,+2,+6
179,M,2016-06-23 15:11:31,2016-06-22,SYK,Stryker Ronda E,Dir,S - Sale,$117.25,"-12,000","24,646,222",0%,"-$1,407,017",+2,+2,+1,+3
180,M,2016-06-21 15:11:04,2016-06-20,SYK,Stryker Ronda E,Dir,S - Sale,$116.43,"-12,000","24,658,222",0%,"-$1,397,171",0,-1,+6,+3
181,M,2016-06-17 12:37:16,2016-06-16,SYK,Stryker Ronda E,Dir,S - Sale,$113.50,"-12,000","24,670,222",0%,"-$1,361,948",0,+3,+6,+3
182,M,2016-06-15 16:17:30,2016-06-14,SYK,Stryker Ronda E,Dir,S - Sale,$114.52,"-12,000","24,682,222",0%,"-$1,374,205",0,+2,+7,+3
183,M,2016-06-13 14:38:52,2016-06-10,SYK,Stryker Ronda E,Dir,S - Sale,$114.68,"-12,000","24,694,222",0%,"-$1,376,209",0,0,+8,+1
184,M,2016-06-09 13:38:47,2016-06-08,SYK,Stryker Ronda E,Dir,S - Sale,$114.33,"-12,000","24,706,222",0%,"-$1,372,013",+1,0,+7,-1
185,D,2016-06-08 10:48:54,2016-06-06,SYK,Datar Srikant,Dir,S - Sale+OE,$113.90,"-6,565","7,642",-46%,"-$747,754",+2,+3,+8,0
186,M,2016-06-07 19:25:45,2016-06-06,SYK,Stryker Ronda E,Dir,S - Sale,$113.47,"-12,000","24,718,222",0%,"-$1,361,596",+2,+2,+8,0
187,M,2016-06-03 13:00:50,2016-06-02,SYK,Stryker Ronda E,Dir,S - Sale,$112.46,"-12,000","24,730,222",0%,"-$1,349,455",+1,+2,+7,+2
188,D,2016-06-02 11:31:16,2016-05-31,SYK,Scannell Timothy J,Group Pres,S - Sale+OE,$110.72,"-9,945","94,122",-10%,"-$1,101,080",+1,+2,+8,+4
189,M,2016-06-01 13:50:31,2016-05-27,SYK,Stryker Ronda E,Dir,S - Sale,$111.34,"-18,000","24,742,222",0%,"-$2,004,155",0,+1,+7,+2
190,M,2016-05-26 13:44:52,2016-05-25,SYK,Stryker Ronda E,Dir,S - Sale,$111.85,"-12,000","24,760,222",0%,"-$1,342,144",0,+1,+4,0
191,M,2016-05-24 13:27:34,2016-05-23,SYK,Stryker Ronda E,Dir,S - Sale,$110.86,"-12,000","24,772,222",0%,"-$1,330,352",+1,+1,+6,+2
192,M,2016-05-20 11:34:43,2016-05-19,SYK,Stryker Ronda E,Dir,S - Sale,$109.71,"-12,000","24,784,222",0%,"-$1,316,566",+1,+2,+6,+1
193,M,2016-05-18 14:40:29,2016-05-17,SYK,Stryker Ronda E,Dir,S - Sale,$110.61,"-12,000","24,796,222",0%,"-$1,327,271",0,+1,+4,-3
194,M,2016-05-16 15:08:51,2016-05-13,SYK,Stryker Ronda E,Dir,S - Sale,$111.29,"-12,000","24,808,222",0%,"-$1,335,434",+1,-1,+4,+3
195,M,2016-05-12 15:37:56,2016-05-11,SYK,Stryker Ronda E,Dir,S - Sale,$111.73,"-12,000","24,820,222",0%,"-$1,340,708",0,-1,+3,+9
196,M,2016-05-10 15:55:12,2016-05-09,SYK,Stryker Ronda E,Dir,S - Sale,$111.71,"-12,000","24,832,222",0%,"-$1,340,559",0,+1,+3,+6
197,M,2016-05-06 11:56:55,2016-05-05,SYK,Stryker Ronda E,Dir,S - Sale,$109.40,"-12,000","8,076,233",0%,"-$1,312,750",+1,+2,+3,+6
198,M,2016-05-04 13:15:12,2016-05-03,SYK,Stryker Ronda E,Dir,S - Sale,$109.01,"-12,000","24,856,222",0%,"-$1,308,166",-1,+2,+3,+6
199,,2016-05-02 15:01:43,2016-05-02,SYK,Stryker Ronda E,Dir,S - Sale,$109.39,"-6,000","24,868,222",0%,"-$656,346",+1,+2,+2,+1
200,,2016-04-29 11:42:57,2016-04-27,SYK,Boehnlein Glenn S,"VP, CFO",S - Sale,$109.61,"-2,000","3,682",-35%,"-$219,228",0,+1,+2,+1
201,M,2016-04-29 11:35:49,2016-04-28,SYK,Stryker Ronda E,Dir,S - Sale,$109.59,"-12,000","24,874,222",0%,"-$1,315,025",0,+1,+2,+1
202,M,2016-04-28 18:11:51,2016-04-26,SYK,Stryker Ronda E,Dir,S - Sale,$109.23,"-12,000","24,886,222",0%,"-$1,310,701",-1,-1,+2,+4
203,D,2016-04-26 16:29:31,2016-04-22,SYK,Francesconi Louise,Dir,S - Sale+OE,$108.93,"-4,985","16,642",-23%,"-$542,991",0,0,+2,+5
204,D,2016-04-25 18:12:09,2016-04-22,SYK,Berry William E Jr,"VP, Corporate Controller",S - Sale+OE,$109.23,"-3,339",293,-92%,"-$364,726",0,0,+1,+5
205,M,2016-04-25 16:27:03,2016-04-22,SYK,Stryker Ronda E,Dir,S - Sale,$108.69,"-12,000","24,898,222",0%,"-$1,304,313",0,0,+1,+5
206,M,2016-04-21 17:29:02,2016-04-20,SYK,Stryker Ronda E,Dir,S - Sale,$109.43,"-12,000","24,910,222",0%,"-$1,313,111",0,+1,0,+6
207,M,2016-04-19 12:48:47,2016-04-18,SYK,Stryker Ronda E,Dir,S - Sale,$109.89,"-12,000","24,922,222",0%,"-$1,318,631",-1,-1,0,+4
208,M,2016-04-15 13:36:28,2016-04-14,SYK,Stryker Ronda E,Dir,S - Sale,$109.51,"-12,000","24,934,222",0%,"-$1,314,085",0,-1,+1,+4
209,M,2016-04-13 13:41:03,2016-04-12,SYK,Stryker Ronda E,Dir,S - Sale,$109.24,"-12,000","24,946,222",0%,"-$1,310,870",0,0,+2,+8
210,M,2016-04-11 14:32:56,2016-04-08,SYK,Stryker Ronda E,Dir,S - Sale,$108.46,"-12,000","24,958,222",0%,"-$1,301,512",0,+1,+3,+8
211,M,2016-04-07 13:39:23,2016-04-06,SYK,Stryker Ronda E,Dir,S - Sale,$108.34,"-12,000","24,970,222",0%,"-$1,300,112",0,+1,+2,+8
212,M,2016-04-05 14:44:49,2016-04-04,SYK,Stryker Ronda E,Dir,S - Sale,$108.56,"-12,000","24,982,222",0%,"-$1,302,750",-2,-1,0,+7
213,D,2016-04-05 11:48:25,2016-04-04,SYK,Owen Katherine Ann,"VP, Strategy, Investor Rel.",S - Sale+OE,$109.29,"-10,914","18,512",-37%,"-$1,192,758",-2,-1,0,+7
214,M,2016-04-01 14:30:58,2016-03-31,SYK,Stryker Ronda E,Dir,S - Sale,$107.32,"-12,000","24,994,222",0%,"-$1,287,885",+1,+1,+2,+10
215,M,2016-03-31 09:59:17,2016-03-29,SYK,Stryker Ronda E,Dir,S - Sale,$106.44,"-12,000","25,006,222",0%,"-$1,277,217",0,+1,+2,+10
216,M,2016-03-28 12:40:42,2016-03-24,SYK,Stryker Ronda E,Dir,S - Sale,$104.99,"-12,000","25,018,222",0%,"-$1,259,917",0,+4,+4,+13
217,DM,2016-03-23 12:11:33,2016-03-21,SYK,Stryker Ronda E,Dir,S - Sale+OE,$105.01,"-18,000","25,030,222",0%,"-$1,890,128",+1,+2,+5,+10
218,M,2016-03-18 12:39:45,2016-03-17,SYK,Stryker Ronda E,Dir,S - Sale,$103.92,"-12,000","25,047,274",0%,"-$1,246,983",+2,+2,+7,+11
219,M,2016-03-16 16:50:20,2016-03-15,SYK,Stryker Ronda E,Dir,S - Sale,$104.52,"-12,000","25,059,274",0%,"-$1,254,233",-2,0,+5,+6
220,M,2016-03-15 09:36:21,2016-03-11,SYK,Stryker Ronda E,Dir,S - Sale,$104.47,"-12,000","25,071,274",0%,"-$1,253,665",0,0,+5,+8
221,,2016-03-15 09:23:00,2016-03-11,SYK,Lobo Kevin,"COB, CEO",S - Sale,$105.00,"-25,952","27,007",-49%,"-$2,724,960",0,0,+5,+8
222,M,2016-03-10 14:55:07,2016-03-09,SYK,Stryker Ronda E,Dir,S - Sale,$103.27,"-12,000","25,083,274",0%,"-$1,239,201",+1,+2,+6,+12
223,M,2016-03-08 13:45:00,2016-03-07,SYK,Stryker Ronda E,Dir,S - Sale,$102.78,"-12,000","25,095,274",0%,"-$1,233,367",0,+2,+6,+13
224,M,2016-03-04 13:51:02,2016-03-03,SYK,Stryker Ronda E,Dir,S - Sale,$102.22,"-12,000","25,107,274",0%,"-$1,226,597",+1,+1,+7,+13
225,M,2016-03-02 15:28:57,2016-03-01,SYK,Stryker Ronda E,Dir,S - Sale,$100.26,"-12,000","25,119,274",0%,"-$1,203,134",+1,+2,+7,+16
226,M,2016-02-29 13:04:52,2016-02-26,SYK,Stryker Ronda E,Dir,S - Sale,$101.41,"-12,000","25,131,274",0%,"-$1,216,964",-1,+2,+6,+13
227,,2016-02-25 13:25:09,2016-02-25,SYK,Stryker Ronda E,Dir,S - Sale,$100.25,"-6,000","25,143,274",0%,"-$601,499",+2,+2,+6,+15
228,M,2016-02-24 15:47:03,2016-02-22,SYK,Stryker Ronda E,Dir,S - Sale,$98.41,"-18,000","25,149,274",0%,"-$1,771,426",+1,+2,+7,+16
229,M,2016-02-19 14:14:20,2016-02-18,SYK,Stryker Ronda E,Dir,S - Sale,$97.13,"-12,000","25,167,274",0%,"-$1,165,558",+1,+5,+8,+18
230,M,2016-02-17 16:51:51,2016-02-16,SYK,Stryker Ronda E,Dir,S - Sale,$97.19,"-12,000","25,179,274",0%,"-$1,166,220",+1,+3,+9,+20
231,DM,2016-02-12 15:40:40,2016-02-11,SYK,Stryker Ronda E,Dir,S - Sale+OE,$96.10,"-12,000","25,191,274",0%,"-$1,153,160",+1,+2,+9,+21
232,M,2016-02-10 21:57:37,2016-02-09,SYK,Stryker Ronda E,Dir,S - Sale,$97.63,"-12,000","25,203,274",0%,"-$1,171,595",-2,-2,+6,+19
233,M,2016-02-08 13:11:15,2016-02-05,SYK,Stryker Ronda E,Dir,S - Sale,$96.84,"-12,000","25,215,274",0%,"-$1,162,111",-1,0,+6,+19
234,,2016-02-08 12:58:26,2016-02-05,SYK,Carpenter Lonny J,Group Pres,S - Sale,$97.95,"-3,000","49,795",-6%,"-$293,837",-1,0,+6,+19
235,M,2016-02-04 15:05:28,2016-02-03,SYK,Stryker Ronda E,Dir,S - Sale,$99.00,"-12,000","25,227,274",0%,"-$1,188,038",0,-1,+4,+17
236,M,2016-02-02 15:38:06,2016-02-01,SYK,Stryker Ronda E,Dir,S - Sale,$98.43,"-12,000","25,239,274",0%,"-$1,181,184",0,-3,+2,+19
237,M,2016-02-01 08:25:05,2016-01-28,SYK,Stryker Ronda E,Dir,S - Sale,$98.12,"-12,000","25,251,274",0%,"-$1,177,394",0,-2,+2,+18
238,M,2016-01-27 20:14:08,2016-01-26,SYK,Stryker Ronda E,Dir,S - Sale,$97.66,"-12,000","25,263,274",0%,"-$1,171,949",-1,0,+3,+19
239,M,2016-01-25 13:53:38,2016-01-22,SYK,Stryker Ronda E,Dir,S - Sale,$93.80,"-12,000","25,275,274",0%,"-$1,125,609",+1,+6,+5,+25
240,M,2016-01-21 15:09:29,2016-01-20,SYK,Stryker Ronda E,Dir,S - Sale,$90.26,"-12,000","25,287,274",0%,"-$1,083,178",+1,+8,+7,+35
