,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
23,,2012-11-30 16:30:59,2012-11-28,ROL,Cynkus Harry J,CFO,S - Sale,$22.54,"-20,150","180,552",-10%,"-$454,129",-2,-1,-3,+11
24,,2012-06-04 16:30:29,2012-05-30,ROL,Luczynski Thomas E,Corporate Secretary,S - Sale,$21.22,"-2,859","105,339",-3%,"-$60,668",+1,+2,+7,+8
25,M,2012-05-03 16:31:44,2012-05-01,ROL,Cynkus Harry J,CFO,S - Sale,$21.47,"-31,554","203,341",-13%,"-$677,446",-1,0,-2,+10
26,M,2011-09-02 17:01:18,2011-08-31,ROL,Cynkus Harry J,CFO,S - Sale,$20.89,"-27,161","227,763",-11%,"-$567,510",-1,-1,-11,+2
27,M,2011-02-14 19:21:19,2011-02-10,ROL,Rollins Glen,Dir,S - Sale,$19.57,"-53,839","1,007,787",-5%,"-$1,053,847",-1,+1,-4,-8
28,,2011-02-11 17:01:16,2011-02-08,ROL,Rollins Glen,Dir,S - Sale,$19.44,"-50,000","1,061,626",-4%,"-$971,840",-1,-1,-3,-9
29,,2011-02-09 17:12:14,2011-02-07,ROL,Rollins Glen,Dir,S - Sale,$19.35,"-25,000","1,111,626",-2%,"-$483,640",0,+1,-1,-6
30,,2010-12-13 17:01:04,2010-12-10,ROL,Rollins Glen,Dir,S - Sale,$28.84,"-20,400","757,751",-3%,"-$588,279",-1,+2,-1,-1
31,,2010-12-13 17:00:47,2010-12-08,ROL,Rollins Glen,Dir,S - Sale,$28.76,"-34,100","811,674",-4%,"-$980,590",-1,+2,-1,-1
32,,2010-12-13 17:00:46,2010-12-09,ROL,Rollins Glen,Dir,S - Sale,$28.85,"-2,500","778,151",0%,"-$72,127",-1,+2,-1,-1
33,,2010-12-08 17:01:05,2010-12-07,ROL,Rollins Glen,Dir,S - Sale,$28.58,"-15,900","845,774",-2%,"-$454,492",0,0,0,+1
34,,2010-12-06 17:02:05,2010-12-02,ROL,Rollins Glen,Dir,S - Sale,$27.89,"-25,000","861,674",-3%,"-$697,125",+2,+3,+4,+3
35,,2010-11-08 17:03:27,2010-11-05,ROL,Rollins Glen,Dir,S - Sale,$26.88,"-25,000","886,674",-3%,"-$672,118",0,-2,+6,+14
36,,2010-11-08 17:01:46,2010-11-04,ROL,Rollins Glen,Dir,S - Sale,$26.89,"-80,000","911,674",-8%,"-$2,151,272",0,-2,+6,+14
37,,2010-11-05 18:35:34,2010-11-03,ROL,Rollins Glen,Dir,S - Sale,$26.50,"-40,000","991,674",-4%,"-$1,059,980",0,-1,+4,+13
38,,2010-11-05 18:33:13,2010-11-02,ROL,Rollins Glen,Dir,S - Sale,$26.33,"-30,000","1,031,674",-3%,"-$789,843",0,-1,+4,+13
39,,2010-02-22 17:01:19,2010-02-18,ROL,Knottek Michael W,"SVP, Secretary",S - Sale,$21.08,"-6,134","96,108",-6%,"-$129,305",-1,-1,+5,-3
40,,2009-11-18 17:01:16,2009-11-17,ROL,Cynkus Harry J,"VP, CFO, Treasurer",S - Sale,$18.75,"-5,000","128,841",-4%,"-$93,750",-3,-1,+1,+12
41,,2008-11-26 14:14:35,2008-11-24,ROL,Cynkus Harry J,CFO,S - Sale,$16.60,"-15,250","114,010",-12%,"-$253,154",+3,0,+2,+2
42,,2008-11-05 17:05:33,2008-11-04,ROL,Knottek Michael W,"SVP, Sec.",S - Sale,$16.82,"-20,000","130,944",-13%,"-$336,400",-1,+3,-1,+7
43,,2007-09-07 16:47:38,2007-09-06,ROL,Knottek Michael W,"SVP, Sec.",S - Sale,$26.45,"-6,000","88,358",-6%,"-$158,675",-1,-1,+11,0
44,D,2007-08-09 16:43:55,2007-08-08,ROL,Cynkus Harry J,CFO,S - Sale+OE,$27.52,"-5,197","75,844",-6%,"-$143,002",-12,-13,-12,-5
45,,2007-02-14 11:29:53,2007-02-12,ROL,Knottek Michael W,"SVP, Sec.",S - Sale,$22.30,"-5,000","94,358",-5%,"-$111,500",0,+3,+1,+14
46,,2006-12-07 17:04:20,2006-12-07,ROL,Knottek Michael W,"SVP, Sec.",S - Sale,$22.12,"-2,200","84,938",-3%,"-$48,672",0,0,-2,+5
47,D,2006-11-16 17:26:03,2006-11-14,ROL,Cynkus Harry J,CFO,S - Sale+OE,$21.75,"-11,884","66,415",-15%,"-$258,528",0,-3,-1,+6
48,DM,2006-05-08 16:48:25,2006-05-04,ROL,Knottek Michael W,"SVP, Sec.",S - Sale+OE,$19.94,"-8,850","87,138",-9%,"-$176,459",0,-3,-3,+6
49,D,2005-09-08 16:42:18,2005-09-06,ROL,Cynkus Harry J,CFO,S - Sale+OE,$19.85,"-4,125","54,526",-7%,"-$81,881",0,-2,+1,0
50,D,2005-06-16 16:15:37,2005-06-15,ROL,Knottek Michael W,"SVP, Sec.",S - Sale+OE,$17.77,"-154,592","76,138",-67%,"-$2,746,481",-3,-6,+2,+1
51,D,2004-08-06 13:20:01,2004-08-04,ROL,Cynkus Harry J,CFO,S - Sale+OE,$23.45,"-1,700","15,921",-10%,"-$39,865",-4,+1,+5,+9
